"target_end_date","location","target","oracle_value"
2023-03-04,"Manhattan","ILI ED visits",313
2023-03-04,"NYC","ILI ED visits",2098
2023-03-04,"Queens","ILI ED visits",604
2023-03-04,"Staten Island","ILI ED visits",48
2023-03-11,"San Antonio","Flu ED visits pct",0.32
2023-03-11,"Dallas","Flu ED visits pct",0.28
2023-03-11,"El Paso","Flu ED visits pct",0.44
2023-03-11,"Houston","Flu ED visits pct",0.26
2023-03-11,"Austin","Flu ED visits pct",0.38
2023-03-11,"Bronx","ILI ED visits",569
2023-03-11,"Brooklyn","ILI ED visits",490
2023-03-11,"Manhattan","ILI ED visits",275
2023-03-11,"NYC","ILI ED visits",2050
2023-03-11,"Queens","ILI ED visits",599
2023-03-11,"Staten Island","ILI ED visits",42
2023-03-18,"San Antonio","Flu ED visits pct",0.15
2023-03-18,"Dallas","Flu ED visits pct",0.33
2023-03-18,"El Paso","Flu ED visits pct",0.36
2023-03-18,"Houston","Flu ED visits pct",0.27
2023-03-18,"Austin","Flu ED visits pct",0.29
2023-03-18,"Bronx","ILI ED visits",551
2023-03-18,"Brooklyn","ILI ED visits",584
2023-03-18,"Manhattan","ILI ED visits",317
2023-03-18,"NYC","ILI ED visits",2210
2023-03-18,"Queens","ILI ED visits",642
2023-03-18,"Staten Island","ILI ED visits",51
2023-03-25,"San Antonio","Flu ED visits pct",0.19
2023-03-25,"Dallas","Flu ED visits pct",0.34
2023-03-25,"El Paso","Flu ED visits pct",0.45
2023-03-25,"Houston","Flu ED visits pct",0.23
2023-03-25,"Austin","Flu ED visits pct",0.32
2023-03-25,"Bronx","ILI ED visits",712
2023-03-25,"Brooklyn","ILI ED visits",591
2023-03-25,"Manhattan","ILI ED visits",362
2023-03-25,"NYC","ILI ED visits",2518
2023-03-25,"Queens","ILI ED visits",728
2023-03-25,"Staten Island","ILI ED visits",43
2023-04-01,"San Antonio","Flu ED visits pct",0.14
2023-04-01,"Dallas","Flu ED visits pct",0.24
2023-04-01,"El Paso","Flu ED visits pct",0.33
2023-04-01,"Houston","Flu ED visits pct",0.24
2023-04-01,"Austin","Flu ED visits pct",0.35
2023-04-01,"Bronx","ILI ED visits",692
2023-04-01,"Brooklyn","ILI ED visits",633
2023-04-01,"Manhattan","ILI ED visits",357
2023-04-01,"NYC","ILI ED visits",2498
2023-04-01,"Queens","ILI ED visits",711
2023-04-01,"Staten Island","ILI ED visits",37
2023-04-08,"San Antonio","Flu ED visits pct",0.13
2023-04-08,"Dallas","Flu ED visits pct",0.23
2023-04-08,"El Paso","Flu ED visits pct",0.48
2023-04-08,"Houston","Flu ED visits pct",0.23
2023-04-08,"Austin","Flu ED visits pct",0.45
2023-04-08,"Bronx","ILI ED visits",668
2023-04-08,"Brooklyn","ILI ED visits",545
2023-04-08,"Manhattan","ILI ED visits",329
2023-04-08,"NYC","ILI ED visits",2334
2023-04-08,"Queens","ILI ED visits",656
2023-04-08,"Staten Island","ILI ED visits",50
2023-04-15,"San Antonio","Flu ED visits pct",0.19
2023-04-15,"Dallas","Flu ED visits pct",0.27
2023-04-15,"El Paso","Flu ED visits pct",0.46
2023-04-15,"Houston","Flu ED visits pct",0.2
2023-04-15,"Austin","Flu ED visits pct",0.37
2023-04-15,"Bronx","ILI ED visits",598
2023-04-15,"Brooklyn","ILI ED visits",479
2023-04-15,"Manhattan","ILI ED visits",324
2023-04-15,"NYC","ILI ED visits",2098
2023-04-15,"Queens","ILI ED visits",572
2023-04-15,"Staten Island","ILI ED visits",56
2023-04-22,"San Antonio","Flu ED visits pct",0.19
2023-04-22,"Dallas","Flu ED visits pct",0.3
2023-04-22,"El Paso","Flu ED visits pct",0.71
2023-04-22,"Houston","Flu ED visits pct",0.17
2023-04-22,"Austin","Flu ED visits pct",0.37
2023-04-22,"Bronx","ILI ED visits",513
2023-04-22,"Brooklyn","ILI ED visits",423
2023-04-22,"Manhattan","ILI ED visits",226
2023-04-22,"NYC","ILI ED visits",1722
2023-04-22,"Queens","ILI ED visits",476
2023-04-22,"Staten Island","ILI ED visits",31
2023-04-29,"San Antonio","Flu ED visits pct",0.12
2023-04-29,"Dallas","Flu ED visits pct",0.34
2023-04-29,"El Paso","Flu ED visits pct",1.05
2023-04-29,"Houston","Flu ED visits pct",0.22
2023-04-29,"Austin","Flu ED visits pct",0.32
2023-04-29,"Bronx","ILI ED visits",478
2023-04-29,"Brooklyn","ILI ED visits",371
2023-04-29,"Manhattan","ILI ED visits",267
2023-04-29,"NYC","ILI ED visits",1728
2023-04-29,"Queens","ILI ED visits",525
2023-04-29,"Staten Island","ILI ED visits",36
2023-05-06,"San Antonio","Flu ED visits pct",0.14
2023-05-06,"Dallas","Flu ED visits pct",0.24
2023-05-06,"El Paso","Flu ED visits pct",0.99
2023-05-06,"Houston","Flu ED visits pct",0.15
2023-05-06,"Austin","Flu ED visits pct",0.39
2023-05-06,"Bronx","ILI ED visits",513
2023-05-06,"Brooklyn","ILI ED visits",454
2023-05-06,"Manhattan","ILI ED visits",329
2023-05-06,"NYC","ILI ED visits",1903
2023-05-06,"Queens","ILI ED visits",511
2023-05-06,"Staten Island","ILI ED visits",36
2023-05-13,"San Antonio","Flu ED visits pct",0.12
2023-05-13,"Dallas","Flu ED visits pct",0.28
2023-05-13,"El Paso","Flu ED visits pct",1.07
2023-05-13,"Houston","Flu ED visits pct",0.17
2023-05-13,"Austin","Flu ED visits pct",0.33
2023-05-13,"Bronx","ILI ED visits",535
2023-05-13,"Brooklyn","ILI ED visits",549
2023-05-13,"Manhattan","ILI ED visits",305
2023-05-13,"NYC","ILI ED visits",2087
2023-05-13,"Queens","ILI ED visits",591
2023-05-13,"Staten Island","ILI ED visits",28
2023-05-20,"San Antonio","Flu ED visits pct",0.18
2023-05-20,"Dallas","Flu ED visits pct",0.25
2023-05-20,"El Paso","Flu ED visits pct",1.15
2023-05-20,"Houston","Flu ED visits pct",0.21
2023-05-20,"Austin","Flu ED visits pct",0.2
2023-05-20,"Bronx","ILI ED visits",564
2023-05-20,"Brooklyn","ILI ED visits",552
2023-05-20,"Manhattan","ILI ED visits",315
2023-05-20,"NYC","ILI ED visits",2160
2023-05-20,"Queens","ILI ED visits",625
2023-05-20,"Staten Island","ILI ED visits",35
2023-05-27,"San Antonio","Flu ED visits pct",0.13
2023-05-27,"Dallas","Flu ED visits pct",0.28
2023-05-27,"El Paso","Flu ED visits pct",0.71
2023-05-27,"Houston","Flu ED visits pct",0.17
2023-05-27,"Austin","Flu ED visits pct",0.2
2023-05-27,"Bronx","ILI ED visits",504
2023-05-27,"Brooklyn","ILI ED visits",502
2023-05-27,"Manhattan","ILI ED visits",284
2023-05-27,"NYC","ILI ED visits",2045
2023-05-27,"Queens","ILI ED visits",646
2023-05-27,"Staten Island","ILI ED visits",36
2023-06-03,"San Antonio","Flu ED visits pct",0.19
2023-06-03,"Dallas","Flu ED visits pct",0.27
2023-06-03,"El Paso","Flu ED visits pct",0.51
2023-06-03,"Houston","Flu ED visits pct",0.21
2023-06-03,"Austin","Flu ED visits pct",0.32
2023-06-03,"Bronx","ILI ED visits",545
2023-06-03,"Brooklyn","ILI ED visits",546
2023-06-03,"Manhattan","ILI ED visits",273
2023-06-03,"NYC","ILI ED visits",2089
2023-06-03,"Queens","ILI ED visits",622
2023-06-03,"Staten Island","ILI ED visits",37
2023-06-10,"San Antonio","Flu ED visits pct",0.08
2023-06-10,"Dallas","Flu ED visits pct",0.21
2023-06-10,"El Paso","Flu ED visits pct",0.56
2023-06-10,"Houston","Flu ED visits pct",0.2
2023-06-10,"Austin","Flu ED visits pct",0.29
2023-06-10,"Bronx","ILI ED visits",433
2023-06-10,"Brooklyn","ILI ED visits",397
2023-06-10,"Manhattan","ILI ED visits",281
2023-06-10,"NYC","ILI ED visits",1748
2023-06-10,"Queens","ILI ED visits",553
2023-06-10,"Staten Island","ILI ED visits",27
2023-06-17,"San Antonio","Flu ED visits pct",0.07
2023-06-17,"Dallas","Flu ED visits pct",0.2
2023-06-17,"El Paso","Flu ED visits pct",0.52
2023-06-17,"Houston","Flu ED visits pct",0.14
2023-06-17,"Austin","Flu ED visits pct",0.23
2023-06-17,"Bronx","ILI ED visits",457
2023-06-17,"Brooklyn","ILI ED visits",440
2023-06-17,"Manhattan","ILI ED visits",269
2023-06-17,"NYC","ILI ED visits",1750
2023-06-17,"Queens","ILI ED visits",520
2023-06-17,"Staten Island","ILI ED visits",19
2023-06-24,"San Antonio","Flu ED visits pct",0.09
2023-06-24,"Dallas","Flu ED visits pct",0.18
2023-06-24,"El Paso","Flu ED visits pct",0.4
2023-06-24,"Houston","Flu ED visits pct",0.14
2023-06-24,"Austin","Flu ED visits pct",0.2
2023-06-24,"Bronx","ILI ED visits",410
2023-06-24,"Brooklyn","ILI ED visits",361
2023-06-24,"Manhattan","ILI ED visits",217
2023-06-24,"NYC","ILI ED visits",1531
2023-06-24,"Queens","ILI ED visits",475
2023-06-24,"Staten Island","ILI ED visits",15
2023-07-01,"San Antonio","Flu ED visits pct",0.1
2023-07-01,"Dallas","Flu ED visits pct",0.16
2023-07-01,"El Paso","Flu ED visits pct",0.28
2023-07-01,"Houston","Flu ED visits pct",0.15
2023-07-01,"Austin","Flu ED visits pct",0.2
2023-07-01,"Bronx","ILI ED visits",340
2023-07-01,"Brooklyn","ILI ED visits",355
2023-07-01,"Manhattan","ILI ED visits",192
2023-07-01,"NYC","ILI ED visits",1391
2023-07-01,"Queens","ILI ED visits",416
2023-07-01,"Staten Island","ILI ED visits",25
2023-07-08,"San Antonio","Flu ED visits pct",0.12
2023-07-08,"Dallas","Flu ED visits pct",0.17
2023-07-08,"El Paso","Flu ED visits pct",0.25
2023-07-08,"Houston","Flu ED visits pct",0.1
2023-07-08,"Austin","Flu ED visits pct",0.26
2023-07-08,"Bronx","ILI ED visits",343
2023-07-08,"Brooklyn","ILI ED visits",322
2023-07-08,"Manhattan","ILI ED visits",219
2023-07-08,"NYC","ILI ED visits",1360
2023-07-08,"Queens","ILI ED visits",413
2023-07-08,"Staten Island","ILI ED visits",16
2023-07-15,"San Antonio","Flu ED visits pct",0.07
2023-07-15,"Dallas","Flu ED visits pct",0.2
2023-07-15,"El Paso","Flu ED visits pct",0.35
2023-07-15,"Houston","Flu ED visits pct",0.16
2023-07-15,"Austin","Flu ED visits pct",0.31
2023-07-15,"Bronx","ILI ED visits",317
2023-07-15,"Brooklyn","ILI ED visits",294
2023-07-15,"Manhattan","ILI ED visits",185
2023-07-15,"NYC","ILI ED visits",1228
2023-07-15,"Queens","ILI ED visits",387
2023-07-15,"Staten Island","ILI ED visits",12
2023-07-22,"San Antonio","Flu ED visits pct",0.08
2023-07-22,"Dallas","Flu ED visits pct",0.15
2023-07-22,"El Paso","Flu ED visits pct",0.23
2023-07-22,"Houston","Flu ED visits pct",0.14
2023-07-22,"Austin","Flu ED visits pct",0.24
2023-07-22,"Bronx","ILI ED visits",297
2023-07-22,"Brooklyn","ILI ED visits",312
2023-07-22,"Manhattan","ILI ED visits",200
2023-07-22,"NYC","ILI ED visits",1243
2023-07-22,"Queens","ILI ED visits",372
2023-07-22,"Staten Island","ILI ED visits",17
2023-07-29,"San Antonio","Flu ED visits pct",0.12
2023-07-29,"Dallas","Flu ED visits pct",0.18
2023-07-29,"El Paso","Flu ED visits pct",0.26
2023-07-29,"Houston","Flu ED visits pct",0.16
2023-07-29,"Austin","Flu ED visits pct",0.17
2023-07-29,"Bronx","ILI ED visits",271
2023-07-29,"Brooklyn","ILI ED visits",334
2023-07-29,"Manhattan","ILI ED visits",178
2023-07-29,"NYC","ILI ED visits",1200
2023-07-29,"Queens","ILI ED visits",356
2023-07-29,"Staten Island","ILI ED visits",13
2023-08-05,"San Antonio","Flu ED visits pct",0.12
2023-08-05,"Dallas","Flu ED visits pct",0.14
2023-08-05,"El Paso","Flu ED visits pct",0.29
2023-08-05,"Houston","Flu ED visits pct",0.13
2023-08-05,"Austin","Flu ED visits pct",0.24
2023-08-05,"Bronx","ILI ED visits",352
2023-08-05,"Brooklyn","ILI ED visits",305
2023-08-05,"Manhattan","ILI ED visits",202
2023-08-05,"NYC","ILI ED visits",1285
2023-08-05,"Queens","ILI ED visits",360
2023-08-05,"Staten Island","ILI ED visits",22
2023-08-12,"San Antonio","Flu ED visits pct",0.1
2023-08-12,"Dallas","Flu ED visits pct",0.2
2023-08-12,"El Paso","Flu ED visits pct",0.26
2023-08-12,"Houston","Flu ED visits pct",0.17
2023-08-12,"Austin","Flu ED visits pct",0.31
2023-08-12,"Bronx","ILI ED visits",293
2023-08-12,"Brooklyn","ILI ED visits",308
2023-08-12,"Manhattan","ILI ED visits",178
2023-08-12,"NYC","ILI ED visits",1259
2023-08-12,"Queens","ILI ED visits",410
2023-08-12,"Staten Island","ILI ED visits",17
2023-08-19,"San Antonio","Flu ED visits pct",0.09
2023-08-19,"Dallas","Flu ED visits pct",0.18
2023-08-19,"El Paso","Flu ED visits pct",0.38
2023-08-19,"Houston","Flu ED visits pct",0.15
2023-08-19,"Austin","Flu ED visits pct",0.21
2023-08-19,"Bronx","ILI ED visits",286
2023-08-19,"Brooklyn","ILI ED visits",324
2023-08-19,"Manhattan","ILI ED visits",189
2023-08-19,"NYC","ILI ED visits",1231
2023-08-19,"Queens","ILI ED visits",358
2023-08-19,"Staten Island","ILI ED visits",23
2023-08-26,"San Antonio","Flu ED visits pct",0.14
2023-08-26,"Dallas","Flu ED visits pct",0.21
2023-08-26,"El Paso","Flu ED visits pct",0.41
2023-08-26,"Houston","Flu ED visits pct",0.23
2023-08-26,"Austin","Flu ED visits pct",0.37
2023-08-26,"Bronx","ILI ED visits",284
2023-08-26,"Brooklyn","ILI ED visits",314
2023-08-26,"Manhattan","ILI ED visits",222
2023-08-26,"NYC","ILI ED visits",1184
2023-08-26,"Queens","ILI ED visits",317
2023-08-26,"Staten Island","ILI ED visits",10
2023-09-02,"San Antonio","Flu ED visits pct",0.29
2023-09-02,"Dallas","Flu ED visits pct",0.33
2023-09-02,"El Paso","Flu ED visits pct",0.56
2023-09-02,"Houston","Flu ED visits pct",0.23
2023-09-02,"Austin","Flu ED visits pct",0.49
2023-09-02,"Bronx","ILI ED visits",331
2023-09-02,"Brooklyn","ILI ED visits",296
2023-09-02,"Manhattan","ILI ED visits",212
2023-09-02,"NYC","ILI ED visits",1299
2023-09-02,"Queens","ILI ED visits",378
2023-09-02,"Staten Island","ILI ED visits",21
2023-09-09,"San Antonio","Flu ED visits pct",0.11
2023-09-09,"Dallas","Flu ED visits pct",0.28
2023-09-09,"El Paso","Flu ED visits pct",0.47
2023-09-09,"Houston","Flu ED visits pct",0.23
2023-09-09,"Austin","Flu ED visits pct",0.41
2023-09-09,"Bronx","ILI ED visits",323
2023-09-09,"Brooklyn","ILI ED visits",370
2023-09-09,"Manhattan","ILI ED visits",235
2023-09-09,"NYC","ILI ED visits",1373
2023-09-09,"Queens","ILI ED visits",362
2023-09-09,"Staten Island","ILI ED visits",25
2023-09-16,"San Antonio","Flu ED visits pct",0.13
2023-09-16,"Dallas","Flu ED visits pct",0.28
2023-09-16,"El Paso","Flu ED visits pct",0.45
2023-09-16,"Houston","Flu ED visits pct",0.26
2023-09-16,"Austin","Flu ED visits pct",0.41
2023-09-16,"Bronx","ILI ED visits",316
2023-09-16,"Brooklyn","ILI ED visits",336
2023-09-16,"Manhattan","ILI ED visits",227
2023-09-16,"NYC","ILI ED visits",1365
2023-09-16,"Queens","ILI ED visits",408
2023-09-16,"Staten Island","ILI ED visits",24
2023-09-23,"San Antonio","Flu ED visits pct",0.15
2023-09-23,"Dallas","Flu ED visits pct",0.34
2023-09-23,"El Paso","Flu ED visits pct",0.43
2023-09-23,"Houston","Flu ED visits pct",0.35
2023-09-23,"Austin","Flu ED visits pct",0.3
2023-09-23,"Bronx","ILI ED visits",428
2023-09-23,"Brooklyn","ILI ED visits",460
2023-09-23,"Manhattan","ILI ED visits",297
2023-09-23,"NYC","ILI ED visits",1835
2023-09-23,"Queens","ILI ED visits",566
2023-09-23,"Staten Island","ILI ED visits",36
2023-09-30,"San Antonio","Flu ED visits pct",0.13
2023-09-30,"Dallas","Flu ED visits pct",0.33
2023-09-30,"El Paso","Flu ED visits pct",0.41
2023-09-30,"Houston","Flu ED visits pct",0.41
2023-09-30,"Austin","Flu ED visits pct",0.45
2023-09-30,"Bronx","ILI ED visits",464
2023-09-30,"Brooklyn","ILI ED visits",439
2023-09-30,"Manhattan","ILI ED visits",294
2023-09-30,"NYC","ILI ED visits",1795
2023-09-30,"Queens","ILI ED visits",510
2023-09-30,"Staten Island","ILI ED visits",39
2023-10-07,"San Antonio","Flu ED visits pct",0.24
2023-10-07,"Dallas","Flu ED visits pct",0.3
2023-10-07,"El Paso","Flu ED visits pct",0.53
2023-10-07,"Houston","Flu ED visits pct",0.53
2023-10-07,"Austin","Flu ED visits pct",0.61
2023-10-07,"Bronx","ILI ED visits",501
2023-10-07,"Brooklyn","ILI ED visits",458
2023-10-07,"Manhattan","ILI ED visits",363
2023-10-07,"NYC","ILI ED visits",2038
2023-10-07,"Queens","ILI ED visits",601
2023-10-07,"Staten Island","ILI ED visits",38
2023-10-14,"San Antonio","Flu ED visits pct",0.24
2023-10-14,"Dallas","Flu ED visits pct",0.45
2023-10-14,"El Paso","Flu ED visits pct",0.36
2023-10-14,"Houston","Flu ED visits pct",0.72
2023-10-14,"Austin","Flu ED visits pct",0.48
2023-10-14,"Bronx","ILI ED visits",521
2023-10-14,"Brooklyn","ILI ED visits",462
2023-10-14,"Manhattan","ILI ED visits",349
2023-10-14,"NYC","ILI ED visits",2015
2023-10-14,"Queens","ILI ED visits",566
2023-10-14,"Staten Island","ILI ED visits",47
2023-10-21,"San Antonio","Flu ED visits pct",0.29
2023-10-21,"Dallas","Flu ED visits pct",0.44
2023-10-21,"El Paso","Flu ED visits pct",0.51
2023-10-21,"Houston","Flu ED visits pct",0.82
2023-10-21,"Austin","Flu ED visits pct",0.69
2023-10-21,"Bronx","ILI ED visits",556
2023-10-21,"Brooklyn","ILI ED visits",589
2023-10-21,"Manhattan","ILI ED visits",352
2023-10-21,"NYC","ILI ED visits",2343
2023-10-21,"Queens","ILI ED visits",723
2023-10-21,"Staten Island","ILI ED visits",54
2023-10-28,"San Antonio","Flu ED visits pct",0.49
2023-10-28,"Dallas","Flu ED visits pct",0.6
2023-10-28,"El Paso","Flu ED visits pct",0.71
2023-10-28,"Houston","Flu ED visits pct",1.15
2023-10-28,"Austin","Flu ED visits pct",0.71
2023-10-28,"Bronx","ILI ED visits",634
2023-10-28,"Brooklyn","ILI ED visits",608
2023-10-28,"Manhattan","ILI ED visits",377
2023-10-28,"NYC","ILI ED visits",2477
2023-10-28,"Queens","ILI ED visits",738
2023-10-28,"Staten Island","ILI ED visits",39
2023-11-04,"San Antonio","Flu ED visits pct",0.71
2023-11-04,"Dallas","Flu ED visits pct",0.67
2023-11-04,"El Paso","Flu ED visits pct",0.71
2023-11-04,"Houston","Flu ED visits pct",1.77
2023-11-04,"Austin","Flu ED visits pct",0.69
2023-11-04,"Bronx","ILI ED visits",691
2023-11-04,"Brooklyn","ILI ED visits",664
2023-11-04,"Manhattan","ILI ED visits",393
2023-11-04,"NYC","ILI ED visits",2619
2023-11-04,"Queens","ILI ED visits",735
2023-11-04,"Staten Island","ILI ED visits",52
2023-11-11,"San Antonio","Flu ED visits pct",0.81
2023-11-11,"Dallas","Flu ED visits pct",0.81
2023-11-11,"El Paso","Flu ED visits pct",1.08
2023-11-11,"Houston","Flu ED visits pct",2.82
2023-11-11,"Austin","Flu ED visits pct",1.15
2023-11-11,"Bronx","ILI ED visits",755
2023-11-11,"Brooklyn","ILI ED visits",743
2023-11-11,"Manhattan","ILI ED visits",498
2023-11-11,"NYC","ILI ED visits",3026
2023-11-11,"Queens","ILI ED visits",885
2023-11-11,"Staten Island","ILI ED visits",55
2023-11-18,"San Antonio","Flu ED visits pct",1.15
2023-11-18,"Dallas","Flu ED visits pct",0.94
2023-11-18,"El Paso","Flu ED visits pct",1.61
2023-11-18,"Houston","Flu ED visits pct",3.5
2023-11-18,"Austin","Flu ED visits pct",1.27
2023-11-18,"Bronx","ILI ED visits",752
2023-11-18,"Brooklyn","ILI ED visits",818
2023-11-18,"Manhattan","ILI ED visits",614
2023-11-18,"NYC","ILI ED visits",3292
2023-11-18,"Queens","ILI ED visits",928
2023-11-18,"Staten Island","ILI ED visits",77
2023-11-25,"San Antonio","Flu ED visits pct",1.36
2023-11-25,"Dallas","Flu ED visits pct",1.18
2023-11-25,"El Paso","Flu ED visits pct",1.46
2023-11-25,"Houston","Flu ED visits pct",3.95
2023-11-25,"Austin","Flu ED visits pct",1.3
2023-11-25,"Bronx","ILI ED visits",727
2023-11-25,"Brooklyn","ILI ED visits",739
2023-11-25,"Manhattan","ILI ED visits",529
2023-11-25,"NYC","ILI ED visits",3103
2023-11-25,"Queens","ILI ED visits",917
2023-11-25,"Staten Island","ILI ED visits",65
2023-12-02,"San Antonio","Flu ED visits pct",1.78
2023-12-02,"Dallas","Flu ED visits pct",1.34
2023-12-02,"El Paso","Flu ED visits pct",1.92
2023-12-02,"Houston","Flu ED visits pct",3.93
2023-12-02,"Austin","Flu ED visits pct",1.64
2023-12-02,"Bronx","ILI ED visits",933
2023-12-02,"Brooklyn","ILI ED visits",903
2023-12-02,"Manhattan","ILI ED visits",625
2023-12-02,"NYC","ILI ED visits",3730
2023-12-02,"Queens","ILI ED visits",1080
2023-12-02,"Staten Island","ILI ED visits",77
2023-12-09,"San Antonio","Flu ED visits pct",2.86
2023-12-09,"Dallas","Flu ED visits pct",2.21
2023-12-09,"El Paso","Flu ED visits pct",4.66
2023-12-09,"Houston","Flu ED visits pct",4.89
2023-12-09,"Austin","Flu ED visits pct",2.58
2023-12-09,"Bronx","ILI ED visits",1056
2023-12-09,"Brooklyn","ILI ED visits",1007
2023-12-09,"Manhattan","ILI ED visits",712
2023-12-09,"NYC","ILI ED visits",4200
2023-12-09,"Queens","ILI ED visits",1217
2023-12-09,"Staten Island","ILI ED visits",84
2023-12-16,"San Antonio","Flu ED visits pct",3.94
2023-12-16,"Dallas","Flu ED visits pct",3.39
2023-12-16,"El Paso","Flu ED visits pct",9.99
2023-12-16,"Houston","Flu ED visits pct",5.78
2023-12-16,"Austin","Flu ED visits pct",3.78
2023-12-16,"Bronx","ILI ED visits",1156
2023-12-16,"Brooklyn","ILI ED visits",1292
2023-12-16,"Manhattan","ILI ED visits",815
2023-12-16,"NYC","ILI ED visits",4924
2023-12-16,"Queens","ILI ED visits",1409
2023-12-16,"Staten Island","ILI ED visits",77
2023-12-23,"San Antonio","Flu ED visits pct",5.76
2023-12-23,"Dallas","Flu ED visits pct",5.58
2023-12-23,"El Paso","Flu ED visits pct",12.2
2023-12-23,"Houston","Flu ED visits pct",6.61
2023-12-23,"Austin","Flu ED visits pct",4.68
2023-12-23,"Bronx","ILI ED visits",1277
2023-12-23,"Brooklyn","ILI ED visits",1419
2023-12-23,"Manhattan","ILI ED visits",877
2023-12-23,"NYC","ILI ED visits",5494
2023-12-23,"Queens","ILI ED visits",1618
2023-12-23,"Staten Island","ILI ED visits",127
2023-12-30,"San Antonio","Flu ED visits pct",5.51
2023-12-30,"Dallas","Flu ED visits pct",6.03
2023-12-30,"El Paso","Flu ED visits pct",9.53
2023-12-30,"Houston","Flu ED visits pct",5.35
2023-12-30,"Austin","Flu ED visits pct",4.08
2023-12-30,"Bronx","ILI ED visits",1520
2023-12-30,"Brooklyn","ILI ED visits",1729
2023-12-30,"Manhattan","ILI ED visits",920
2023-12-30,"NYC","ILI ED visits",6475
2023-12-30,"Queens","ILI ED visits",1887
2023-12-30,"Staten Island","ILI ED visits",143
2024-01-06,"San Antonio","Flu ED visits pct",5.22
2024-01-06,"Dallas","Flu ED visits pct",5.74
2024-01-06,"El Paso","Flu ED visits pct",6.12
2024-01-06,"Houston","Flu ED visits pct",4.49
2024-01-06,"Austin","Flu ED visits pct",4.04
2024-01-06,"Bronx","ILI ED visits",1204
2024-01-06,"Brooklyn","ILI ED visits",1364
2024-01-06,"Manhattan","ILI ED visits",785
2024-01-06,"NYC","ILI ED visits",5177
2024-01-06,"Queens","ILI ED visits",1500
2024-01-06,"Staten Island","ILI ED visits",130
2024-01-13,"San Antonio","Flu ED visits pct",5.2
2024-01-13,"Dallas","Flu ED visits pct",4.64
2024-01-13,"El Paso","Flu ED visits pct",4.32
2024-01-13,"Houston","Flu ED visits pct",3.23
2024-01-13,"Austin","Flu ED visits pct",3.65
2024-01-13,"Bronx","ILI ED visits",1132
2024-01-13,"Brooklyn","ILI ED visits",1155
2024-01-13,"Manhattan","ILI ED visits",765
2024-01-13,"NYC","ILI ED visits",4843
2024-01-13,"Queens","ILI ED visits",1512
2024-01-13,"Staten Island","ILI ED visits",102
2024-01-20,"San Antonio","Flu ED visits pct",6.65
2024-01-20,"Dallas","Flu ED visits pct",5.85
2024-01-20,"El Paso","Flu ED visits pct",3.12
2024-01-20,"Houston","Flu ED visits pct",2.92
2024-01-20,"Austin","Flu ED visits pct",4.22
2024-01-20,"Bronx","ILI ED visits",927
2024-01-20,"Brooklyn","ILI ED visits",950
2024-01-20,"Manhattan","ILI ED visits",619
2024-01-20,"NYC","ILI ED visits",3842
2024-01-20,"Queens","ILI ED visits",1145
2024-01-20,"Staten Island","ILI ED visits",96
2024-01-27,"San Antonio","Flu ED visits pct",8.16
2024-01-27,"Dallas","Flu ED visits pct",7.76
2024-01-27,"El Paso","Flu ED visits pct",3.59
2024-01-27,"Houston","Flu ED visits pct",3.03
2024-01-27,"Austin","Flu ED visits pct",5.07
2024-01-27,"Bronx","ILI ED visits",928
2024-01-27,"Brooklyn","ILI ED visits",1051
2024-01-27,"Manhattan","ILI ED visits",669
2024-01-27,"NYC","ILI ED visits",3911
2024-01-27,"Queens","ILI ED visits",1074
2024-01-27,"Staten Island","ILI ED visits",85
2024-02-03,"San Antonio","Flu ED visits pct",7.97
2024-02-03,"Dallas","Flu ED visits pct",7.64
2024-02-03,"El Paso","Flu ED visits pct",3.4
2024-02-03,"Houston","Flu ED visits pct",2.73
2024-02-03,"Austin","Flu ED visits pct",5.69
2024-02-03,"Bronx","ILI ED visits",963
2024-02-03,"Brooklyn","ILI ED visits",997
2024-02-03,"Manhattan","ILI ED visits",588
2024-02-03,"NYC","ILI ED visits",3858
2024-02-03,"Queens","ILI ED visits",1115
2024-02-03,"Staten Island","ILI ED visits",71
2024-02-10,"San Antonio","Flu ED visits pct",6.15
2024-02-10,"Dallas","Flu ED visits pct",6
2024-02-10,"El Paso","Flu ED visits pct",3.42
2024-02-10,"Houston","Flu ED visits pct",2.27
2024-02-10,"Austin","Flu ED visits pct",4.45
2024-02-10,"Bronx","ILI ED visits",924
2024-02-10,"Brooklyn","ILI ED visits",1095
2024-02-10,"Manhattan","ILI ED visits",568
2024-02-10,"NYC","ILI ED visits",3861
2024-02-10,"Queens","ILI ED visits",1063
2024-02-10,"Staten Island","ILI ED visits",80
2024-02-17,"San Antonio","Flu ED visits pct",4.21
2024-02-17,"Dallas","Flu ED visits pct",4.32
2024-02-17,"El Paso","Flu ED visits pct",4.04
2024-02-17,"Houston","Flu ED visits pct",1.71
2024-02-17,"Austin","Flu ED visits pct",3.24
2024-02-17,"Bronx","ILI ED visits",908
2024-02-17,"Brooklyn","ILI ED visits",900
2024-02-17,"Manhattan","ILI ED visits",532
2024-02-17,"NYC","ILI ED visits",3587
2024-02-17,"Queens","ILI ED visits",1040
2024-02-17,"Staten Island","ILI ED visits",99
2024-02-24,"San Antonio","Flu ED visits pct",3.22
2024-02-24,"Dallas","Flu ED visits pct",3.58
2024-02-24,"El Paso","Flu ED visits pct",4.75
2024-02-24,"Houston","Flu ED visits pct",1.54
